network,method,variant,model_file,original_variables,original_fixed_variables,original_free_variables,retained_variables,state_dimension,fixed_variables,free_variables,retained_fraction,eliminated_fraction,free_retained_fraction,free_eliminated_fraction,state_space_size,original_state_space_size,state_space_ratio,log2_state_space_ratio,effective_state_space_size,original_effective_state_space_size,effective_state_space_ratio,log2_effective_state_space_ratio,effective_state_space_reduction,recurrence_length,depth,dominant_set
renal_cell_carcinoma,leaf_node_removal,leaf_node_removal,results/models/renal_cell_carcinoma/leaf_node_removal.bnet,70,26,44,0,0,0,0,0.0,1.0,0.0,1.0,1,1180591620717411303424,8.470329472543003e-22,-70,1,17592186044416,5.684341886080802e-14,-44,True,,,
renal_cell_carcinoma,dominant_vertices,dv_01,results/models/renal_cell_carcinoma/dominant_vertices/dominant_vertices_01.bnet,70,26,44,26,26,26,0,0.37142857142857144,0.6285714285714286,0.0,1.0,67108864,1180591620717411303424,5.684341886080802e-14,-44,1,17592186044416,5.684341886080802e-14,-44,True,1,5,hsa_1026;hsa_112398;hsa_112399;hsa_1387;hsa_201163;hsa_2033;hsa_2271;hsa_3082;hsa_3265;hsa_369;hsa_3845;hsa_405;hsa_4893;hsa_54583;hsa_5546;hsa_5879;hsa_5894;hsa_673;hsa_6921;hsa_6923;hsa_7030;hsa_7428;hsa_8453;hsa_9915;hsa_9978;hsa_998
small_cell_lung_cancer,original,original,results/models/small_cell_lung_cancer/original.bnet,93,45,48,93,93,45,48,1.0,0.0,1.0,0.0,9903520314283042199192993792,9903520314283042199192993792,1.0,0,281474976710656,281474976710656,1.0,0,False,,,
small_cell_lung_cancer,node_elimination,node_elimination,results/models/small_cell_lung_cancer/node_elimination.bnet,93,45,48,0,0,0,0,0.0,1.0,0.0,1.0,1,9903520314283042199192993792,1.0097419586828951e-28,-93,1,281474976710656,3.552713678800501e-15,-48,True,,,
small_cell_lung_cancer,two_step,two_step,results/models/small_cell_lung_cancer/two_step.bnet,93,45,48,0,0,0,0,0.0,1.0,0.0,1.0,1,9903520314283042199192993792,1.0097419586828951e-28,-93,1,281474976710656,3.552713678800501e-15,-48,True,,,
small_cell_lung_cancer,leaf_node_removal,leaf_node_removal,results/models/small_cell_lung_cancer/leaf_node_removal.bnet,93,45,48,0,0,0,0,0.0,1.0,0.0,1.0,1,9903520314283042199192993792,1.0097419586828951e-28,-93,1,281474976710656,3.552713678800501e-15,-48,True,,,
small_cell_lung_cancer,dominant_vertices,dv_01,results/models/small_cell_lung_cancer/dominant_vertices/dominant_vertices_01.bnet,93,45,48,45,45,45,0,0.4838709677419355,0.5161290322580645,0.0,1.0,35184372088832,9903520314283042199192993792,3.552713678800501e-15,-48,1,281474976710656,3.552713678800501e-15,-48,True,1,6,hsa_1026;hsa_10319;hsa_10912;hsa_1282;hsa_1284;hsa_1285;hsa_1286;hsa_1287;hsa_1288;hsa_1643;hsa_1647;hsa_1869;hsa_1870;hsa_1871;hsa_2272;hsa_22798;hsa_2335;hsa_284217;hsa_317;hsa_3908;hsa_3909;hsa_3910;hsa_3911;hsa_3912;hsa_3913;hsa_3914;hsa_3915;hsa_3918;hsa_4149;hsa_4609;hsa_4616;hsa_4790;hsa_51426;hsa_54205;hsa_5728;hsa_578;hsa_5915;hsa_596;hsa_5970;hsa_6256;hsa_6257;hsa_6258;hsa_7157;hsa_836;hsa_842
thyroid_cancer,original,original,results/models/thyroid_cancer/original.bnet,37,23,14,37,37,23,14,1.0,0.0,1.0,0.0,137438953472,137438953472,1.0,0,16384,16384,1.0,0,False,,,
thyroid_cancer,node_elimination,node_elimination,results/models/thyroid_cancer/node_elimination.bnet,37,23,14,0,0,0,0,0.0,1.0,0.0,1.0,1,137438953472,7.275957614183426e-12,-37,1,16384,6.103515625e-05,-14,True,,,
thyroid_cancer,two_step,two_step,results/models/thyroid_cancer/two_step.bnet,37,23,14,0,0,0,0,0.0,1.0,0.0,1.0,1,137438953472,7.275957614183426e-12,-37,1,16384,6.103515625e-05,-14,True,,,
thyroid_cancer,leaf_node_removal,leaf_node_removal,results/models/thyroid_cancer/leaf_node_removal.bnet,37,23,14,0,0,0,0,0.0,1.0,0.0,1.0,1,137438953472,7.275957614183426e-12,-37,1,16384,6.103515625e-05,-14,True,,,
thyroid_cancer,dominant_vertices,dv_01,results/models/thyroid_cancer/dominant_vertices/dominant_vertices_01.bnet,37,23,14,23,23,23,0,0.6216216216216216,0.3783783783783784,0.0,1.0,8388608,137438953472,6.103515625e-05,-14,1,16384,6.103515625e-05,-14,True,1,4,hsa_1026;hsa_10342;hsa_10912;hsa_1499;hsa_1643;hsa_1647;hsa_4616;hsa_4914;hsa_51426;hsa_5468;hsa_578;hsa_581;hsa_5979;hsa_6256;hsa_6257;hsa_6258;hsa_7157;hsa_7170;hsa_7175;hsa_7849;hsa_8030;hsa_8031;hsa_999
